100	500

23	54
18	53
91	95
39	79
85	95
46	56
37	75
74	53
80	21
6	56
80	28
22	11
88	86
46	2
6	94
85	6
39	31
3	43
14	95
12	95
15	68
12	31
100	59
30	68
89	17
100	17
52	72
34	95
3	9
1	61
74	25
29	11
77	14
43	94
97	67
31	62
41	21
31	50
73	38
25	82
89	21
79	19
70	22
32	5
100	94
64	99
55	67
49	94
71	42
37	69
81	77
89	3
1	15
11	72
74	52
50	37
30	38
25	43
71	40
19	56
61	25
33	26
63	50
22	46
17	1
15	67
18	36
95	3
7	20
23	55
49	30
64	75
76	44
49	85
73	35
96	51
62	83
29	8
6	35
98	54
54	38
36	32
9	79
8	33
74	17
63	39
36	46
58	48
37	47
5	58
13	25
26	38
60	26
78	36
60	67
11	15
15	36
66	20
4	34
92	74
60	52
89	28
50	75
47	26
63	16
26	7
2	87
40	47
30	56
19	35
99	96
18	3
72	58
75	23
10	76
43	15
90	10
41	92
18	9
5	91
100	6
58	62
83	8
43	12
21	69
48	55
27	41
50	80
26	58
14	90
81	49
16	46
73	23
62	97
82	46
95	35
49	41
2	56
81	35
97	39
97	75
22	95
36	52
33	34
28	84
53	68
10	83
36	49
14	97
98	42
99	53
52	15
3	75
59	87
60	51
68	22
9	3
83	81
70	46
89	50
27	29
79	78
5	1
71	53
66	43
43	3
19	37
60	47
46	66
14	64
43	29
78	7
60	69
94	25
11	17
67	87
10	48
32	80
53	90
3	93
59	16
39	73
60	63
94	84
94	52
47	84
95	24
92	55
51	91
78	28
5	37
36	61
64	82
56	64
77	54
17	62
96	91
48	100
100	56
86	70
85	73
46	49
82	80
77	98
61	79
88	72
91	43
63	79
5	30
70	60
2	28
22	47
36	47
10	89
69	16
11	35
31	75
65	14
10	80
35	80
22	59
12	80
84	29
4	11
61	69
96	82
28	49
77	93
62	15
26	43
86	55
53	79
85	87
1	7
19	52
13	71
42	32
15	51
60	72
77	87
80	87
73	81
13	46
4	21
52	28
14	22
24	76
35	13
94	4
79	68
29	47
52	87
99	19
85	61
51	39
44	30
71	58
72	59
85	1
68	36
5	14
9	51
97	49
3	57
21	31
29	95
92	18
46	89
20	15
84	100
42	18
14	30
18	7
9	71
28	37
6	56
70	80
24	29
74	77
29	64
31	59
31	92
60	15
43	56
49	42
46	42
33	38
2	89
9	78
97	87
8	51
55	77
28	10
1	80
20	98
28	66
36	68
100	95
35	84
35	10
10	22
95	19
32	88
7	52
57	31
44	96
59	100
3	91
76	28
60	50
54	46
13	59
38	61
71	74
30	54
9	39
35	14
4	24
7	57
87	16
37	89
12	35
49	93
3	49
31	99
37	55
81	80
10	99
50	73
8	85
48	79
51	9
19	97
22	25
49	57
38	3
41	17
52	9
24	66
42	68
80	74
16	82
24	30
69	82
52	56
50	6
59	39
19	30
77	3
51	47
36	10
68	82
37	64
10	56
52	83
61	54
6	35
33	74
70	29
19	14
67	97
21	74
95	13
91	60
15	58
26	29
67	43
43	72
58	78
78	27
48	11
47	33
62	17
7	41
71	47
12	15
66	2
96	25
68	71
93	26
83	9
96	91
4	88
74	76
67	24
20	72
100	91
59	82
13	94
70	52
39	50
89	68
95	88
1	54
19	83
92	48
15	35
68	6
51	99
82	91
25	4
78	85
17	22
53	67
35	49
8	62
15	48
26	40
94	93
37	52
35	82
35	15
10	96
26	100
69	42
53	54
76	18
28	67
5	35
91	50
21	88
51	40
37	79
62	33
76	66
58	39
93	14
54	50
82	75
51	93
1	51
69	79
35	53
63	89
8	96
8	82
22	89
67	93
54	67
32	94
68	46
96	18
74	89
1	4
67	97
8	97
87	63
80	90
25	75
69	36
70	38
15	27
55	99
65	29
1	21
11	23
36	4
44	14
98	61
17	25
38	47
57	33
88	31
57	40
71	14
91	20
56	28
63	89
89	6
81	79
49	55
67	55
16	61
81	79
26	59
64	48
94	51
45	22
96	9
20	22
28	40
16	100
67	44
99	22
37	6
84	19
58	25
16	72
61	58
19	65
20	5
36	74
56	24
79	89
66	93
30	40
50	86
54	50
83	17
29	77
